{'hidden_size': 256, 'num_layers': 2, 'batch_size': 2048, 'learning_rate': 0.0001, 'num_samples': 10240, 'keep_prob': 0.5, 'max_length': 7, 'alpha': 0.7, 'beta': 0.5, 'data_path': 'data/FB15k/', 'log_file_path': 'logs/data-FB15k-7l_19-01-23-12-56.log'}
epoch:0, Hits@1:0.000, Hits@10:0.001, MRR:0.001, MR:7414.918, mean_loss:0.000
epoch:1, Hits@1:0.183, Hits@10:0.382, MRR:0.252, MR:332.066, mean_loss:33.139
epoch:6, Hits@1:0.489, Hits@10:0.762, MRR:0.586, MR:64.169, mean_loss:15.935
epoch:11, Hits@1:0.595, Hits@10:0.822, MRR:0.676, MR:50.366, mean_loss:14.690
epoch:16, Hits@1:0.645, Hits@10:0.850, MRR:0.719, MR:46.891, mean_loss:14.343
epoch:21, Hits@1:0.670, Hits@10:0.862, MRR:0.740, MR:45.969, mean_loss:14.187
epoch:26, Hits@1:0.680, Hits@10:0.865, MRR:0.748, MR:46.136, mean_loss:14.099
epoch:31, Hits@1:0.688, Hits@10:0.868, MRR:0.754, MR:46.376, mean_loss:14.034
epoch:36, Hits@1:0.695, Hits@10:0.869, MRR:0.758, MR:46.269, mean_loss:13.989
epoch:41, Hits@1:0.696, Hits@10:0.869, MRR:0.759, MR:46.180, mean_loss:13.950
epoch:46, Hits@1:0.698, Hits@10:0.870, MRR:0.761, MR:46.885, mean_loss:13.916
epoch:51, Hits@1:0.701, Hits@10:0.870, MRR:0.763, MR:46.271, mean_loss:13.888
epoch:56, Hits@1:0.704, Hits@10:0.870, MRR:0.765, MR:45.982, mean_loss:13.863
epoch:61, Hits@1:0.705, Hits@10:0.871, MRR:0.766, MR:46.494, mean_loss:13.836
epoch:66, Hits@1:0.707, Hits@10:0.871, MRR:0.767, MR:46.543, mean_loss:13.812
epoch:71, Hits@1:0.707, Hits@10:0.872, MRR:0.768, MR:46.826, mean_loss:13.793
epoch:76, Hits@1:0.711, Hits@10:0.872, MRR:0.770, MR:47.177, mean_loss:13.769
epoch:81, Hits@1:0.712, Hits@10:0.871, MRR:0.771, MR:46.326, mean_loss:13.745
epoch:86, Hits@1:0.714, Hits@10:0.873, MRR:0.772, MR:46.850, mean_loss:13.725
epoch:91, Hits@1:0.715, Hits@10:0.873, MRR:0.773, MR:47.007, mean_loss:13.703
epoch:96, Hits@1:0.717, Hits@10:0.873, MRR:0.774, MR:47.306, mean_loss:13.686
epoch:101, Hits@1:0.717, Hits@10:0.873, MRR:0.774, MR:47.622, mean_loss:13.660
epoch:106, Hits@1:0.719, Hits@10:0.873, MRR:0.776, MR:47.280, mean_loss:13.645
epoch:111, Hits@1:0.719, Hits@10:0.872, MRR:0.775, MR:47.591, mean_loss:13.626
epoch:116, Hits@1:0.720, Hits@10:0.872, MRR:0.775, MR:47.870, mean_loss:13.597
epoch:121, Hits@1:0.723, Hits@10:0.873, MRR:0.777, MR:47.483, mean_loss:13.576
epoch:121, Hits@1:0.721, Hits@10:0.873, MRR:0.777, MR:46.839, mean_loss:13.576
